text,oa_predicate,study_predicate,Y,abstract_structured
"Facebook and the elderly: The benefits of social media adoption for aged care facility residents. We explore the emotional effects of implementing Facebook in an aged care facility and evaluate whether computers and Facebook are of any benefit in regard to an elderly person’s feeling of social connectedness. This preliminary qualitative study took place in a Melbourne-based elected Aged Care Facility. Facebook was accessed through desktop computers provided by the Facility. During a four month pilot project, six residents were supervised to learn how to competently Facebook. Findings indicate that older people are able to connect and learn the use of new technologies with which they may be unfamiliar. While high levels of user enjoyment were found, measures of social connectedness resulting from the use of Facebook use were inconclusive. The research con-cludes that when supported with appropriate teaching and technology, the use of computers to access Facebook is a practical approach in supporting the con-nectedness needs of the residents. © Springer International Publishing AG 2017.",1,1,1,0
"Benefits and pitfalls in utilization of the internet by elderly people. The role of advanced technologies is being discussed in public, academic and government environments. The paper deals with the current issue of computer literacy in the elderly people with focus not only on benefits but also on pitfalls connected with their use. The paper brings an insight into the technical literature review. It strives to summarize key beneficial outcomes and contrary unexpected obstacles which elderly people face when they use information and communication technology. A set of examples as practical demonstrations of real computer usage by elderly people illustrates the issue on the national scene. The research was run to explore the computer literacy in elderly people from three perspectives, roughly corresponding to three kinds of elderly people reflecting their physical and mental state. Findings from the surveys which were conducted with a group of elderly respondents in the senior homes and findings from the interview with a young lector teaching old generation show the issue in the local city environment. A question on benefits of organized course for the elderly from the questionnaire explores the survey from four perspectives and brings enriching findings. Findings from literature review correspond to findings gained from the research. Positive attributes of active utilization of the Internet contribute to active ageing, to the combat of the feelings of social isolation and loneliness. © IFIP International Federation for Information Processing 2017.",1,0,0,0
"Substitution of assisted living services by assistive technology-experts opinions and technical feasibility. Ambient assisted living (AAL) may support ageing in place but is primarily driven by technology. The aim of this work is, to identifying reasons to move into assisted living institutions, their range of service and possible substitutability. We did semi-structured interviews with five experts from assisted living institutions and used results to design and implement assistive technologies in an AAL environment using BASIS, a cross domain bus system for smart buildings. Reasons for moving to assisted living institutions are expected benefits for chronic health problems, safety, social isolation and carefree living. We implemented six application systems for inactivity monitoring, stove shutdown, air quality monitoring, medication and appointment reminders, detection of unwanted situations before leaving and optical ringing of the doorbell. Substitution of selected assisted living services is feasible and has potential to delay necessity to move into assisted living institution if complement social services are installed. © 2017 The authors and IOS Press. All rights reserved.",0,0,0,0
"Technique-based game for daycare visitors with and without dementia: Effects, heuristics and correlates [Technikbasiertes Spiel von Tagespflegebesuchern mit und ohne Demenz: Effekte, Heuristiken und Korrelate]. Background: Playing of old people with or without dementia have not yet been substantially investigated. Objective: This study deals with the acceptance and impact of a tablet-based memory game, which was played on a weekly or semiweekly basis by visitors in two daycare units. Material and methods: Within the framework of focus groups the technical system was adapted for elderly users. The video-assisted data at the level of the game and the dynamics were investigated with respect to interaction and communication. Results: The analysis of psychological observation forms and game protocols, which were conducted over a period of 3 months, indicated different effects of the game on psychosocial and cognitive activation. The individual memory cards in particular served as an intensification of communication and a stimulation of episodic memory. Finally, with video analysis during the whole game setting three theoretical relationship patterns of the spheres playing and speech could be depicted. Conclusion: Coherence, separation and incoherence of playing and speech are different forms of interaction in which individual and collaborative competences of people with and without dementia can be visualized. Furthermore, the study provides evidence for the cultural theory of playing by Huizinga. © 2016, Springer-Verlag Berlin Heidelberg.",1,1,1,1
"Internet access for disabled people: Understanding socio-relational factors in Europe. Access to the Internet has become a sine qua non-of everyday life. It also offers new routes to economic and social inclusion for disabled people. Research on the digital divide shows that social factors affect Internet access but disability status is often overlooked. This paper assesses the extent to which disability makes a difference and how it interacts with other social effects to produce distinctive forms of digital exclusion. The analysis uses survey data from 27 European countries to explore and model, statistically, the interactions between Internet access, disability status, age, gender, education, household financial situation and household composition. Multilevel analysis confirms that socio-demographic factors can explain much variance in outcomes but there is a distinctive disability effect. In particular, the adverse effects of financial constraint, aging and living alone are exacerbated among disabled people. New policies to strengthen e-accessibility, arising from the United Nations Convention on the Rights of Persons with Disabilities and from the European Union, are important but cannot ignore those who are still excluded from the online revolution. Disabled people are over-represented in this group. The evidence suggests that both accessible technologies and appropriate supportive relationships are needed to address this. © 2017, Masaryk University. All rights reserved.",0,0,0,0
"Transplant professionals' perceptions of long-term care residents' candidacy for kidney transplantation. Context: Given the aging end-stage renal disease (ESRD) population, kidney transplant (KTx) centers may experience an increase in referrals of patients living in long-term care (LTC) settings (eg, skilled nursing facilities, assisted living facilities, group homes, and boarding homes). Objective: To identify best practices among KTx professionals when considering individuals in LTC settings for transplantation. Design and Setting: A cross-sectional survey administered online to US transplant professionals via e-mail LISTSERVs and other professional networks. Participants: One hundred twenty-six KTx professionals working in the United States. Main Outcome Measures: The survey was composed of demographic questions and 6 hypothetical scenarios. These scenarios asked participants to assess transplant candidacy of patients with ESRD living in LTC settings based on the information provided in the scenario. Each scenario presented a different variable that necessitated LTC placement, including lack of social support, moderate intellectual disability, stable neurological condition, mild dementia, a psychiatric condition controlled on medications, and limited mobility. Results: The only scenario that elicited an overwhelmingly negative response was mild dementia with 73.9% of participants unwilling to consider such patients for KTx. By contrast, the proportion of KTx professionals reluctant to proceed with KTx in the remaining scenarios ranged between 40.0% and 50.6%. Conclusions: This survey of a large number of KTx professionals suggests that there is presently no best practice consensus regarding offering KTx to patients living in LTC settings. Further research should include a broader range of KTx professionals and should also include a study of outcomes with KTx in this particular patient population. © 2017, NATCO.",0,0,0,1
"The impact of an ostomy on older colorectal cancer patients: a cross-sectional survey. Background: Ostomies are being placed in 35 % of patients after colorectal cancer surgery. As decision-making regarding colorectal surgery is challenging in the older patients, it is important to have insight in the potential impact due to ostomies. Methods: An internet-based survey was sent to all members with registered email addresses of the Dutch Ostomy Patient Association. Results: The response rate was 49 %; 932 cases were included of whom 526 were aged <70 years old (“younger respondents”), 301 were aged between 70 and 79 years old (“the elderly”), and 105 were aged ≥80 years old (“oldest old”). Ostomy-related limitations were similar in the different age groups, just as uncertainty (8–10 %) and dependency (18–22 %) due to the ostomy. A reduced quality of life was experienced least in the oldest old group (24 % vs 37 % of the elderly and 46 % of the younger respondents, p < 0.001). Over time, a decrease of limitations and impact due to the ostomy was observed. Conclusion: Older ostomates do not experience more limitations or psychosocial impact due to the ostomy compared to their younger counterparts. Over the years, impact becomes less distinct. Treatment decision-making is challenging in the older colorectal cancer patients but ostomy placement should not be withheld based on age alone. © 2016, Springer-Verlag Berlin Heidelberg.",1,0,0,1
"Absorbent products for incontinence. Absorbent products that collect and contain urine and fecal loss due to bladder and bowel dysfunction are commonly utilized as a first-line defense and daily management option for those experiencing incontinence. Unlike feminine hygiene products that are designed to absorb menstrual blood, these Class 1 medical devices (classified by the United States [US] Federal Drug Administration) are specifically designed to absorb and contain urine and feces. Absorbent products are also useful in mitigating the potential clinical complications from incontinence, such as skin irritation, breakdown, and the development of wounds in the perineal area. High-performing products are also vital in supporting individuals in dealing with the very stressful psycho-social implications of incontinence, such as embarrassing visible leakage, unpleasant odors, and even social isolation (Payne D. Selecting appropriate absorbent products to treat urinary incontinence. Br J Community Nurs. 2015;20(11):551-8). Individuals that benefit from other treatment options for incontinence, such as behavioral interventions, drug therapies, or surgical procedures, can utilize absorbent products as an adjunct for additional protection, personal hygiene, and confidence. These products are particularly useful in supporting persons who are unable to benefit from other treatments or interventions and therefore remain incontinent, such as disabled individuals, the elderly, or the very ill. To meet the varied needs of individuals and their lifestyles, these products include a variety of designs, absorbency levels, and options for use, and are utilized across the continuum of care, from the active and independent consumer at home, to the mostly immobile or bed-bound dependent patient in a clinical care setting. These products can be readily accessed to provide treatment in clinical settings, or purchased through retail channels in stores or via the web online. Over the past decade, as acuity rates and accompanying medical conditions have increased while the population ages, there is rising demand for more options in this product category, which has even been cited as the fastest-growing household product business (Eisen S. Betting on boomers, P and G enters the adult diaper market. Englewood Cliffs, NJ: Consumer News and Business Channel; 2014). This demand has also led to increased research and continuous innovation by manufacturers to capture more market share, as they invest heavily to out-perform competitors, capture consumer confidence, and increase the conversion rate to their brands. © Springer International Publishing AG 2018.",0,0,0,0
"Unmet Needs for Family Caregivers of Elderly People With Dementia Living in Italy: What Do We Know So Far and What Should We Do Next?. Care of the elderly with dementia represents one of the major challenges for the modern society worldwide. The burden of dementia care often falls on the family members, entailing heavy psychosocial and economic consequences. The aim of this study was to evaluate the caregiver's perspective concerning the support for disease management on behalf of the physicians and the local Sicilian administrations (Italy), and the burden of care and effects on their lifestyle, to propose new prevention strategies and service for managing dementia and caregiver's burden. Fifty-nine caregivers of Italian elderly people with dementia (mean age, 73; age range: 63-83) were interviewed, and 55 of them completed an ad hoc self-report questionnaire composed of 54 multiple-choice questions. Our findings suggest that caregivers need more information on the disease's management, as well as on how to deal with the stress due to the disease burden. Moreover, a negative perception about the services offered from the local administration emerged. Assistive technology (AT) could be useful in promoting interaction between general practitioners and specialized centers for diagnosis, pharmacological and psychosocial treatments, and in saving costs. Moreover, case manager could follow patients and support family members within the care pathway, besides collecting and sharing information among the different health professionals involved. Further studies should be aimed at investigating whether AT and/or the use of specific educational strategies could be the right approach for meeting the needs of families living with dementia.",1,0,0,0
"Autonomously sensing loneliness and its interactions with personality traits using smartphones. One in five Americans is lonely and loneliness disproportionately affects senior citizens and international students. In this paper, we propose Socialoscope, a smartphone app that passively senses user loneliness from their communication and interaction patterns (e.g. calls, SMS, browsing patterns and social media usage), while factoring in different personality types. Data was gathered from 9 international students over 2 weeks to train machine learning classifiers for loneliness. Using smartphone-sensed data, we show that of the big 5 personality traits, extraversion and emotional stability features were strongly correlated with smartphone-sensed loneliness. We synthesized machine learning classifiers that classified user smartphone interaction and communication features into ranges of loneliness with an accuracy of 98%, while factoring in user personality types. © 2016 IEEE.",0,0,0,0
"Personalizing health-related ICT interface and application: Older adults and elderly caregivers preferences. Despite potential for preventing social isolation and loneliness, providing health care access and other benefits, older persons tend to be less receptive to digital devices. Elderly people frequently appoint complex interface and perceived usefulness as cause for not using health-related ICT. There is little information about preferences and interests of this specific population for tailored and customized technology, but according to the current literature; older users and caregivers both think that accessible and interactive design is the main aspiration. Besides that, they consider important some functionalities, especially for social interactions purposes. This study was conducted to address the interest, preferences and problems with an application for personalizing the tablet; with health older adults and social networkmg of dependent elderly individuals and to propose a new design for it. After using a skm app prototype, the 35 volunteers from 3 groups (independent older adults, informal and formal caregivers) were interviewed in order to suggest changes and help us to propose a new design for an Android skin. The main findings were analyzed according to interface and functionalities preferences in order to develop the concept to a new application. The prototype is called ANNI, available at Google Play Store. © 2016 ACM.",1,0,0,0
"Algorithm for predicting death among older adults in the home care setting: Study protocol for the Risk Evaluation for Support: Predictions for Elder-life in the Community Tool (RESPECT). Introduction: Older adults living in the community often have multiple, chronic conditions and functional impairments. A challenge for healthcare providers working in the community is the lack of a predictive tool that can be applied to the broad spectrum of mortality risks observed and may be used to inform care planning. Objective: To predict survival time for older adults in the home care setting. The final mortality risk algorithm will be implemented as a web-based calculator that can be used by older adults needing care and by their caregivers. Design: Open cohort study using the Resident Assessment Instrument for Home Care (RAI-HC) data in Ontario, Canada, from 1 January 2007 to 31 December 2013. Participants: The derivation cohort will consist of ~437 000 older adults who had an RAI-HC assessment between 1 January 2007 and 31 December 2012. A split sample validation cohort will include ~122 000 older adults with an RAI-HC assessment between 1 January and 31 December 2013. Main outcome measures: Predicted survival from the time of an RAI-HC assessment. All deaths (n≈245 000) will be ascertained through linkage to a population-based registry that is maintained by the Ministry of Health in Ontario. Statistical analysis: Proportional hazards regression will be estimated after assessment of assumptions. Predictors will include sociodemographic factors, social support, health conditions, functional status, cognition, symptoms of decline and prior healthcare use. Model performance will be evaluated for 6-month and 12-month predicted risks, including measures of calibration (eg, calibration plots) and discrimination (eg, c-statistics). The final algorithm will use combined development and validation data. Ethics and dissemination: Research ethics approval has been granted by the Sunnybrook Health Sciences Centre Review Board. Findings will be disseminated through presentations at conferences and in peer-reviewed journals. Trial registration number: NCT02779309, Pre-results.",1,0,0,1
"A Comprehensive Evaluation of a Lifelong Learning Program: Program 60. Lifelong learning programs meet older adults' educational needs and further support their health and well-being leading to more successful aging. In particular, university-based lifelong learning programs have provided older adults with opportunities to not only develop skills and knowledge but also expand new social networks with people of different ages. This study evaluated a university-based lifelong learning program, Program 60, to identify the relationships between participants' experiences in the program and their quality of life. An online survey was employed, and 107 participants completed the self-report survey. The participants reported that classes helped increase their emotional satisfaction and that they enjoyed taking classes with younger students. Their experiences in the program reliably predicted psychological and social elements of their quality of life (p =.004 and p =.019, respectively). Study results provide helpful information for the development of lifelong learning programs that are responsive to the increasing demands of older adults. © The Author(s) 2016.",1,0,0,0
"Customized web-based system for elderly people using elements of artificial intelligence. Making life easier for the elderly represents a new challenge for the ICT sector. This paper presents a new web-based system designed and implemented with the aim to support the social inclusion and to improve the daily routine of the elderly people within basic information and communication features. The system provides some advanced functionalities to utilise the information value of the data collected within the presented system, e.g. The recommendations based on similar hobbies or health problems; a simple medical diagnostics; a creation of a knowledge base containing experiences and best practices, etc. We designed the system in accordance with local conditions in Slovakia, so its full functioning relies on the progress in e-Health legislation. Presented version is a preliminary result that will be further improved and tested within a real practice. © 2016 Polish Information Processing Society.",1,0,0,0
"Older veteran digital disparities: Examining the potential for solutions within social networks. Background: Older adults typically have less access to the Internet than other age groups, and older Veterans may use the Internet even less due to economic and geographic reasons. Objective: To explore solutions to this problem, our study examined older Veterans' reported ability to access technology through their close social ties. Methods: Data were collected via mail survey from a sample of Veterans aged 65 years and older (N=266). Results: Nearly half (44.0%, 117/266) of the sample reported having no Internet access. Yet, among those without current access, older Veterans reported having a median of 5 (IQR 7) close social ties with home Internet access. These older Veterans also reported that they would feel comfortable asking a median of 2 (IQR 4) social ties for help to access the Internet, and that a median of 2 (IQR 4) social ties would directly access the Internet for the older Veteran to help with health management. Conclusions: Findings suggest that even older Veterans without current Internet access have at least two social ties with home Internet who could be called upon for technology support. Thus, older Veterans may be willing to call upon these ""surrogate seekers"" for technology assistance and support in health management. This has implications for the digital divide, technology design, and health care policy. © Tana M Luger, Timothy P Hogan, Lorilei M Richardson, Lisa Cioffari-Bailiff, Kimberly Harvey, Thomas K Houston.",1,0,0,1
"Implementation of an iot-assisted relay control system in social networking environments. To reduce the wastage of electric power and electrical fires that are caused by the negligence of the elderly, this paper proposes an Internet of Things (IoT)-assisted relay control system in social networking environments. The proposed system comprises a power strip; three relays for the power strip control; an open hardware platform with light, temperature, and humidity sensors; and a camera module. In particular, it can support IP-based wireless connectivity and social networking through the Telegram Bot communicate with the elderly and their authorized persons such as family, a nurse, or a social worker. The user will receive the information from the proposed system, such as on/off states of the power strip, a type of devices connected to the power strip, and current measurement values from them, through a Telegram application on a smartphone. After checking the on/off states, the type of devices, and current measurement values, the user can decide which relays need to be controlled and send text messages with the indices of the specific relays and corresponding commands to the proposed system. Furthermore, to receive any alert messages for power saving and accident prevention, we can change the reference values for the sensors. Some experimental results verify that the proposed system can control on/off operation of the three relays, provide alert message services, and check the status of the power strip. © 2016 International Information Institute.",0,0,0,0
"Internet search for counseling offers for older adults suffering from visual impairment [Internet-Recherche nach Beratungsangeboten für ältere Menschen mit Sehbehinderung]. Background: Visual impairment is a relevant problem of aging. In many cases promising therapeutic options exist but patients are often left with visual deficits, which require a high degree of individualized counseling. This article analyzed which counseling offers can be found by patients and relatives using simple and routine searching via the internet. Method: Analyses were performed using colloquial search terms in the search engine Google in order to find counseling options for elderly people with visual impairments available via the internet. Results: With this strategy 189 offers for counseling were found, which showed very heterogeneous regional differences in distribution. The counseling options found in the internet commonly address topics such as therapeutic interventions or topics on visual aids corresponding to the professions offering rehabilitation most present in the internet, such as ophthalmologists and opticians. Regarding contents addressing psychosocial and help in daily tasks, self-help and support groups offer the most differentiated and broadest spectrum. Support offers for daily living tasks and psychosocial counseling from social providers were more difficult to find with these search terms despite a high presence in the internet. Discussion: There are a large number of providers of counseling and consulting for older persons with visual impairment. In order to be found more easily by patients and to be recommended more often by ophthalmologists and general practitioners, the presence of providers in the internet must be improved, especially providers of daily living and psychosocial support offers. © 2016, Springer-Verlag Berlin Heidelberg.",0,0,0,1
"Psychological profiles of older adult Web 2.0 tool users. A study was conducted to explore the relationships between the Web 2.0 tool use and various psychosocial, emotional and active ageing factors. To this end, we designed and administered an online questionnaire to 454 Spanish people aged 55 or older. We performed descriptive and multivariate analyses using the general linear model. We obtained three types of evidence. The results show differential patterns of Web 2.0 tool use in relation to age, sex and educational level. Users reported benefits in relation to autonomy, motivation, social dimension, social participation, mood, self-esteem, and physical and mental health generally, and differences were observed according to age, educational level and type of tool. We also obtained differential psychological profiles for users of different tools that could determine usage patterns and derived benefits. This study has important implications as regards promoting the full integration of older adults in the knowledge society. © 2016 Elsevier Ltd",0,0,0,0
"Digital Dating: Online Profile Content of Older and Younger Adults. Objectives: Older adults are utilizing online dating websites in increasing numbers. Adults of different ages may share motivations for companionship and affection, but dating profiles may reveal differences in adults' goals. Theories addressing age-related changes in motivation suggest that younger adults are likely to emphasize themselves, achievements, attractiveness, and sexuality. Older adults are likely to present themselves positively and emphasize their existing relationships and health. Method: We collected 4,000 dating profiles from two popular websites to examine age differences in self-presentations. We used stratified sampling to obtain a sample equally divided by gender, aged 18-95 years. We identified 12 themes in the profiles using Linguistic Inquiry and Word Count software (Pennebaker, Booth, & Francis, 2007). Results: Regression analyses revealed that older adults were more likely to use first-person plural pronouns (e.g., we, our) and words associated with health and positive emotions. Younger adults were more likely to use first-person singular pronouns (e.g., I, my) and words associated with work and achievement. Discussion: Findings suggest that younger adults enhance the ""self"" when seeking romantic partnership. In contrast, older adults are more positive in their profiles and focus more on connectedness and relationships to others. © 2015 The Author. Published by Oxford University Press on behalf of The Gerontological Society of America. All rights reserved.",0,0,0,1
"Mobile Instant Messengers and Middle-Aged and Elderly Adults in Taiwan: Uses and Gratifications. For middle-aged and elderly adults with potential capabilities in finance, eagerness to keep up with the times using a mobile instant messenger (MIM) is an indispensable quality. Mobile social networking services take a wide range of forms, among which an MIM, which logs in when one opens an app (application), is a representative “core service” of the information technology (IT) system. LINE is a good example of an MIM and is particularly popular in Taiwan. This article aims to understand, through the study of other social messengers, middle-aged and elderly adults’ uses of and gratifications related to for the LINE system; this study also aims to provide opinions and suggestions related to future app design, development, and research. The results show that middle-aged and elderly adults use MIM to maintain their social activities and relationships for purposes related to affection, information, stress relief, popularity, concern, and applications. We further confirm that if middle-aged and elderly adults use a larger number of LINE features, they will use them for longer time per day and more frequently per week, and they will receive more gratification from their “behavior of use.” © 2016 Taylor & Francis Group, LLC.",0,0,0,0
"Acceptability Conditions for Telemonitoring Gerontechnology in the Elderly: Optimising the Development and Use of This New Technology. The question of accommodation is crucial for the elderly; most of them wish to stay at home as long as possible [1]. The concept of “living at home” [2] is for them synonymous with well-being because it allows them to maintain their lifestyle and social ties with their family and friends. However, a problem arises because of the gradual deterioration of their abilities; hence the need for them to remain at home in optimal safety conditions. In order to fully protect this demographic; telemonitoring gerontechnology appears to be a future solution to this problem, while improving comfort of life, management, autonomy and eliminating the constraints of travel and distance. While the utility of this technology has been demonstrated, the focus here is on the fact that the conditions for development and use of this technology involve user acceptability and the ability to meet their expectations. © 2015",0,0,0,0
"Everybody's working for the weekend: changes in enjoyment of everyday activities across the retirement threshold. BACKGROUND: the aim of this study was to explore the associations between use of time and momentary hedonic affect ('enjoyment') in adults in the peri-retirement period.METHODS: a total of 124 adults [61 males, 63 females; age 62 (4) years] completed a computerised use-of-time recall on 4 days at each of four time points (3-6 months pre-, 3, 6 and 12 months post-retirement), as well as surveys regarding self-reported health, well-being, sleep quality and loneliness. They reported how much they enjoyed each activity on a 0-10 scale. An individual Enjoyment Index was calculated as the time-weighted average of each participant's enjoyment ratings. Time-weighted enjoyment ratings were also calculated for nine mutually exclusive and exhaustive activity domains (Sleep, Chores, Work, Social, Screen Time, Self-care, Quiet Time, Transport, Physical Activity) and sub-domains.RESULTS: the mean (±SD) Enjoyment Index was 7.43 ± 0.61, and was significantly and positively associated with well-being (P = 0.003 to P < 0.0001) and sleep quality (P = 0.03 to P < 0.0001), and negatively associated with loneliness (P = 0.003 to P < 0.0001). Mean Enjoyment Index values increased significantly (P < 0.0001) from pre-retirement (7.19 ± 0.82) to post-retirement (7.46 ± 0.89, 7.42 ± 0.91 and 7.49 ± 0.89 at 3, 6 and 12 months post-retirement). There were significant differences in enjoyment across domains, with Physical Activity (7.86 ± 1.11) and Social (7.66 ± 0.85) being the most enjoyable, and Work (7.10 ± 0.89) and Chores (7.09 ± 0.85) the least enjoyable.CONCLUSION: enjoyment of everyday activities increased after retirement and remained elevated for at least 12 months. Work appears to constitute a relative hedonic deficit. © The Author 2016. Published by Oxford University Press on behalf of the British Geriatrics Society. All rights reserved. For Permissions, please email: journals.permissions@oup.com.",1,0,0,1
"The effect of dyadic interactions on learning rotate gesture for technology-naïve older adults. Older adults having limited experience with modern computing technology may find it difficult to learn touch gestures, especially the more complex rotate gesture. Social interactions, as implied by social constructivism, are assumed to be powerful in enabliog older adults to acquire the skill of touch gestures. The social effect can be reioforced with the motivational effect of digital games. To verify the assumption, we conducted empirical stodies with 59 older adults, who were divided into two groups: 17 Siogles and 21 Dyads. They were asked to play a set of digital games on a multi-touch tabletop. Results show that on average Dyads have spent sigoificantly longer time in the games and have performed a sigoificantly higher number of correct rotate gestures than Siogles. Future work focuses on anaiyziog the emotional aspect of social interactions and identifying further applications of social gamiog to other ageing issues. © 2016 ACM.",1,0,0,0
"Improving awareness and social connectedness through the social hue: Insights and perspectives. The ability to maintain a high cognitive function, autonomy and social support are key factors to promote ""successful"" ageing. The Social Hue is an envisioned peripheral awareness lighting system, which seeks to enhance social connectedness between the elderly and their caregivers. We adopted a participatory design approach to gain a shared understanding of the users' context, their perspectives on ambient lighting technologies and wearable sensing, privacy concerns and acceptance of a system to promote social interaction. We obtained detailed accounts of our elderly participants' social support structures and their interactions with their caregivers. Moreover, our exploratory results suggest important design requirements to realise the Social Hue system. © 2016 ACM.",1,0,0,0
"A Novel and Intelligent Home Monitoring System for Care Support of Elders with Cognitive Impairment. Background: Assistive technology, in the form of a smart home environment, is employed to support people with dementia. Objectives: To propose a system for continuous and objective remote monitoring of problematic daily living activity areas and design personalized interventions based on system feedback and clinical observations for improving cognitive function and health-related quality of life. Methods: The assistive technology of the proposed system, including wearable, sleep, object motion, presence, and utility usage sensors, was methodically deployed at four different home installations of people with cognitive impairment. Detection of sleep patterns, physical activity, and activities of daily living, based on the collected sensor data and analytics, was available at all times through comprehensive data visualization solutions. Combined with clinical observation, targeted psychosocial interventions were introduced to enhance the participants' quality of life and improve their cognitive functions and daily functionality. Meanwhile, participants and their caregivers were able to visualize a reduced set of information tailored to their needs. Results: Overall, paired-sample t-test analysis of monitored qualities revealed improvement for all participants in neuropsychological assessment. Moreover, improvement was detected from the beginning to the end of the trial, in physical condition and in the domains of sleep. Detecting abnormalities via the system, for example in sleep quality, such as REM sleep, has proved to be critical to assess current status, drive interventions, and evaluate improvements in a reliable manner. Conclusion: It has been proved that the proposed system is suitable to support clinicians to reliably drive and evaluate clinical interventions toward quality of life improvement of people with cognitive impairment. © 2016 - IOS Press and the authors. All rights reserved.",0,1,0,1
"Mapping the two levels of digital divide: Internet access and social network site adoption among older adults in the USA. Older adults have increasingly adopted Internet and social network sites (SNSs), but little communication scholarship has explored systematic differences in access within this population. Using a nationally representative sample of Americans over the age of 50 years from the 2012 Health and Retirement Study, we examine Internet access (N = 18,851) and SNS adoption patterns (N = 869) among this sample and explore how these patterns vary by age. Regarding Internet access, results suggest that while the gender divide has reversed in favor of women, older adults who are economically, socioculturally, or physically disadvantaged are less likely to have reliable Internet access. In addition, the view that the various divides in Internet access are less of a concern for those who are younger is only partially supported, as some access-related divides do not vary by age or even decrease with age. For SNS adoption, we found that access to technological resources (diversity of online activities) positively predicts SNS use. Moreover, SNS users are more likely to be younger, female, widowed, and homemakers, perhaps because these individuals are more motivated to use SNSs to complement or compensate for their existing social status. These findings reveal unique challenges and motivations in relation to Internet access and SNS adoption patterns across the later life span. © 2015 Taylor & Francis.",0,0,0,0
"The relationships that matter: Social network site use and social wellbeing among older adults in the United States of America. An increasing number of middle-aged and older Americans are using social network sites (SNSs), but little research has addressed how SNS use is associated with social wellbeing outcomes in this population. Using a nationally representative sample of 1,620 Americans older than 50 from the 2012 Health and Retirement Study (HRS), we examine the relationship between older adults' SNS use and social wellbeing associated with non-kin and kin relations and explore how these associations vary by age. Results of ordinary least-squares regression analyses suggest that SNS use is positively associated with non-kin-related social wellbeing outcomes, including perceived support from friends (β = 0.13; p < 0.001; N = 460) and feelings of connectedness (β = 0.10; p < 0.001; N = 463). Regression models employing interaction terms of age and SNS use further reveal that SNS use contributes to feelings of connectedness to a greater extent as people age (β = 0.10; p < 0.001; N = 463). Of all kin-related social wellbeing outcomes, SNS use only predicts increased perceived support from children (β = 0.08; p < 0.05; N = 410), and age negatively shapes this relationship (β = -0.14; p < 0.001; N = 410). As older people engage with an increasingly smaller and narrower network with a greater proportion of kin contacts, our results suggest that SNS use may help older adults access differential social benefits throughout later life. © Copyright 2015 Cambridge University Press.",0,0,0,0
"Exploring the impact of creative expression through interactive art making on older adults’ well-being. Research on enhancing healthy aging through art-related activities is a relatively recent phenomenon. We draw inspiration from the ability of interactive art technology to merge electronics into artifacts whose aesthetics are shaped by their craft components. We believe such artifacts hold great potential to engage older adults and significantly improve their daily lives. Therefore, we developed an interactive art-making program for seniors at local assisted-living facilities aimed to enhance cognitive engagement, social connectedness and sense of well-being in older adults. This article examines the physical and mental experience of our participants as they made electronic cards by hand and explores new approaches to electronics construction that leverages the affordances of other related handicrafts. © 2016 Informa UK Limited, trading as Taylor & Francis Group.",1,0,0,0
"Effects of a social internet-based intervention programme for older adults: An explorative randomised crossover study. Introduction Restraints and changes in social activities might contribute to loneliness and health decline for older adults. To reduce loneliness and support activities, social internet-based interventions are indicated to be effective. The aim of this study was to evaluate the effects of a social internet-based intervention for older adults who are vulnerable to loneliness. Method An explorative, randomised, crossover study with an AB/BA sequence was completed. The intervention was conducted over a period of three months. Thirty participants were included (24 women and six men, 61-89 years old) and allocated to two groups. Data were collected at three time points. The primary outcome was the UCLA loneliness scale, and the secondary outcomes were satisfaction with social contacts and social interaction skills. Statistical analyses were conducted with the paired t-test, Wilcoxon's signed-rank test and repeated-measures analysis of variance. Results Loneliness was significantly decreased in both groups post intervention, and satisfaction with social contacts online significantly increased in one group. Significant treatment effects were detected for all outcomes. Conclusion The results of the social internet-based intervention programme are promising, but further evaluations are needed. © The College of Occupational Therapists Ltd.",1,1,1,1
"Can a short internet training program improve social isolation and self-esteem in older adults with psychiatric conditions?. The purpose of this study was to investigate whether an educational training course on using the internet and touchscreen technology (TT) would decrease social isolation and improve self-esteem in residents living in a low-level residential facility. Twelve sessions over six weeks with two facilitators were provided to five participants with a variety of psychiatric disorders. Measures were completed before and after the 12 sessions. There were no statistically significant improvements or worsening in social isolation (mean score 6.2, SD 3.35) or self-esteem (mean score 18.2, SD 3.56) post the training sessions for the residents. Qualitative feedback suggested that the residents enjoyed this experience and learnt new skills. Further study is recommended using larger samples and alternative outcomes measures. © Copyright International Psychogeriatric Association 2016.",1,1,1,0
