Authors,Title,Year,Source title,Link,Abstract,Document Type,Source,EID,abstract_structured,filter_OA_include,filter_study_include,notes
"Rehm I.C., Musić S., Carlsson A., Scanlan F., Silver M., Bhar S.S.",Integrating Web-Based Applications into Aged Care: Two Case Studies and Discussion,2016,Journal of Clinical Psychology in Medical Settings,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963648035&doi=10.1007%2fs10880-016-9457-8&partnerID=40&md5=07f652ddbdd46e0af586ba54546ba0f2,"In anticipation of the growing need for adequate mental health care for older adults in residential aged care facilities, psychologists are challenged to overcome several barriers that impede the uptake and delivery of their services in such settings. Information and communication technologies (ICT) have strong potential to overcome some of these barriers by supporting the delivery of evidence-based psychosocial treatments for common psychogeriatric issues. This paper presents two case studies that illustrate when and how psychologists can use various ICT applications (e.g., tablet devices, web-based applications) integrated with cognitive behavioural and reminiscence-based therapies. Both case studies demonstrate that ICT can effectively support the therapeutic alliance, enhance therapeutic engagement, and individualize treatment delivery to accommodate the needs of elderly patients. It is hoped that these case studies will encourage clinicians to consider using ICT to augment therapy with their elderly patients. © 2016, Springer Science+Business Media New York.",Article,Scopus,2-s2.0-84963648035,0,maybe,maybe,
"Williams D.M., Dunsiger S., Davy B.M., Kelleher S.A., Marinik E.L., Winett R.A.",Psychosocial mediators of a theory-based resistance training maintenance intervention for prediabetic adults,2016,Psychology and Health,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84967139387&doi=10.1080%2f08870446.2016.1179740&partnerID=40&md5=ab33bab9b6ec0333a476a7d0d3dfdcb3,"Objective: Examine psychosocial mediators of the effects of high vs. low-dose resistance training (RT) maintenance interventions among older (ages 50–69), overweight and pre-diabetic adults. Design: Participants (N = 123) completed a three-month supervised RT initiation phase and were subsequently randomised (time 1) to high or low-dose six-month unsupervised RT maintenance interventions (time 2), followed by a six-month no-contact phase (time 3). Main Outcome Measures: Online measures of putative mediators and RT behaviour. Results: RT intervention condition (high vs. low dose) had significant effects on change from time 1 to time 2 in behavioural expectation, self-regulation and perceived satisfaction (f2 = .04–.08), but not outcome expectancies, RT strategies or behavioural intentions (f2 ≤ .02). Change in each of the putative mediators, except for outcome expectancies (f2 ≤ .02), had significant effects on RT behaviour at times 2 (f2 = .12–.27) and 3 (f2 = .23–.40). In a multiple mediation model, behavioural expectation (f2 = .11) and self-regulation (f2 = .06) mediated the effects of RT intervention condition on time 2 RT behaviour, whereas perceived satisfaction did not (f2 = .01). Self-regulation was a significant mediator of intervention effects on time 3 RT behaviour (f2 = .11), but behavioural expectation and perceived satisfaction were not (f2 = .04). Conclusions: Findings suggest that behavioural expectation and self-regulation are appropriate targets for RT maintenance interventions among at-risk older adults. © 2016 Informa UK Limited, trading as Taylor & Francis Group.",Article,Scopus,2-s2.0-84967139387,1,0,1,50+
"Yang Y.-T., Iqbal U., Chen Y.-M., Su S., Chang Y.-M., Handa Y., Lin N.-P., Hsu Y.-H.E.",Co-creating value through demand and supply integration in senior industry-observations on 33 senior enterprises in Taiwan,2016,International Journal for Quality in Health Care,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991795100&doi=10.1093%2fintqhc%2fmzw051&partnerID=40&md5=cf5172cbda5fd73815bfd884b362fbb0,"Objective: With global population aging, great business opportunities are driven by the various needs that the elderly face in everyday living. Internet development makes information spread faster, also allows elderly and their caregivers to more easily access information and actively participate in value co-creation in the services. This study aims to investigate the designs of value co-creation by the supply and demand sides of the senior industry.Design: This study investigated senior industry in Taiwan and analyzed bussiness models of 33 selected successful senior enterprises in 2013. We adopted series field observation, reviews of documentations, analysis of meeting records and in-depth interviews with 65 CEOs and managers.Setting: Thirty-three quality enterprises in senior industry.Participants: Sixty-five CEOs and managers in 33 senior enterprises.Intervention(s): None.Main Outcome Measure(s): Value co-creation design, value co-creating process.Results: We constructed a conceptual model that comprehensively describes essential aspects of value co-creation and categorized the value co-creation designs into four types applying for different business models: (i) interaction in experience spaces co-creation design, (ii) on-site interacting co-creation design, (iii) social networking platform co-creation design and (iv) empowering customers co-creation design. Through value co-creation platform design, the senior enterprises have converted the originally passive roles of the elderly and caregivers into active participants in the value co-creation process.Conclusions: The new paradigm of value co-creation designs not only promote innovative development during the interactive process, lead enterprises reveal and meet customers' needs but also increase markets and profits. © The Author 2016. Published by Oxford University Press in association with the International Society for Quality in Health Care. All rights reserved.",Article,Scopus,2-s2.0-84991795100,1,0,0,
"Ory M.G., Towne S.D., Jr., Won J., Forjuoh S.N., Lee C.",Social and environmental predictors of walking among older adults,2016,BMC Geriatrics,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988369473&doi=10.1186%2fs12877-016-0327-x&partnerID=40&md5=55351df629880ac716a9816b4b013683,"Background: Regular physical activity (PA) is a major factor in maintaining health in aging populations. This study examines the influences of sociodemographic, health, and environmental characteristics on older adults' walking behaviors, and the role physicians can play in promoting physical activity. Methods: Online and paper surveys (n = 272) were distributed to community-dwelling older (age ≥ 60) adults from a large integrated healthcare system in two counties in Central Texas. Descriptive statistics were utilized to characterize participant's walking behaviors and places. Multivariate logistic regression was employed to predict being: 1) a frequent walker (i.e., walking at least three times a week); and 2) meeting the Centers for Disease Control and Prevention (CDC) PA recommendation through walking (i.e., walking ≥150 min per week), while considering sociodemographic, health, and environmental factors. Results: Individuals had a median age of 69 years, were of both genders (50.37 % female), and were primarily non-Hispanic White (84.87 %). While the majority (59.55 %) walked at least three times a week, only 27.86 % walked ≥150 min a week. Factors associated with a lower likelihood of being frequent walkers included experiencing poor mental health in the past month (OR = 0.345, 95 % CI = 0.185-0.645) and residing in areas with low or moderate (versus high) perceived neighborhood cohesion (OR = 0.471, 95 % CI = 0.228-0.974), while those in Census Tracts reflecting populations with a lower median age were more likely to report frequent walking behavior (OR = 1.799, 95 % CI = 1.034-3.131). Factors associated with a lower likelihood of meeting the CDC PA recommendation included being 60-69 years (versus 70 years or older) (OR = 0.538, 95 % CI = 0.290-0.997), experiencing poor mental health in the past month (OR = 0.432, 95 % CI = 0.198-0.944), and lacking social support for walking (OR = 0.383, 95 % CI = 0.154-0.957). Conclusion: Given the health benefits, PA promotion must be seen as a national responsibility. In particular, physicians have a major role to play in communicating the importance of PA to their older patients and making discussions about strategies for overcoming barriers to walking an integral part of their clinical encounter with these patients. © 2016 The Author(s).",Article,Scopus,2-s2.0-84988369473,1,1,0,
"Parry S.W., Bamford C., Deary V., Finch T.L., Gray J., Macdonald C., McMeekin P., Sabin N.J., Steen I.N., Whitney S.L., McColl E.M.","Cognitive–behavioural therapy-based intervention to reduce fear of falling in older people: Therapy development and randomised controlled trial – the strategies for increasing independence, confidence and energy (STRIDE) study",2016,Health Technology Assessment,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84982883886&doi=10.3310%2fhta20560&partnerID=40&md5=49d1b423632201cd57e1a60d9d087f96,"Background Falls cause fear, anxiety and loss of confidence, resulting in activity avoidance, social isolation and increasing frailty. The umbrella term for these problems is ‘fear of falling’, seen in up to 85% of older adults who fall. Evidence of effectiveness of physical and psychological interventions is limited, with no previous studies examining the role of an individually delivered cognitive–behavioural therapy (CBT) approach. Objectives Primary objectiveTo develop and then determine the effectiveness of a new CBT intervention (CBTi) delivered by health-care assistants (HCAs) plus usual care compared with usual care alone in reducing fear of falling. Secondary objectivesTo measure the impact of the intervention on falls, injuries, functional abilities, anxiety/depression, quality of life, social participation and loneliness; investigate the acceptability of the intervention for patients, family members and professionals and factors that promote or inhibit its implementation; and measure the costs and benefits of the intervention.  Design Phase ICBTi development. Phase IIParallel-group patient randomised controlled trial (RCT) of the new CBTi plus usual care compared with usual care alone.  Setting Multidisciplinary falls services. Participants Consecutive community-dwelling older adults, both sexes, aged ≥ 60 years, with excessive or undue fear of falling per Falls Efficacy Scale–International (FES-I) score of > 23. Interventions Phase IDevelopment of the CBTi. The CBTi was developed following patient interviews and taught to HCAs to maximise the potential for uptake and generalisability to a UK NHS setting. Phase IIRCT. The CBTi was delivered by HCAs weekly for 8 weeks, with a 6-month booster session plus usual care.  Main outcome measures These were assessed at baseline, 8 weeks, 6 months and 12 months. Primary outcome measureFear of falling measured by change in FES-I scores at 12 months. Secondary outcome measures These comprised falls, injuries, anxiety/depression [Hospital Anxiety and Depression Scale (HADS)], quality of life, social participation, loneliness and measures of physical function. There were process and health-economic evaluations alongside the trial.  Results Four hundred and fifteen patients were recruited, with 210 patients randomised to CBTi group and 205 to the control group. There were significant reductions in mean FES-I [–4.02; 95% confidence interval (CI) –5.95 to –2.1], single-item numerical fear of falling scale (–1.42; 95% CI –1.87 to 1.07) and HADS (–1; 95% CI –1.6 to –0.3) scores at 12 months in the CBTi group compared with the usual care group. There were no differences in the other secondary outcome measures. Most patients found the CBTi acceptable. Factors affecting the delivery of the CBTi as part of routine practice were identified. There was no evidence that the intervention was cost-effective. Conclusions Our new CBTi delivered by HCAs significantly improved fear of falling and depression scores in older adults who were attending falls services. There was no impact on other measures. Further work Further work should focus on a joint CBTi and physical training approach to fear of falling, more rational targeting of CBTi, the possibility of mixed group and individual CBTi, and the cost-effectiveness of provision of CBTi by non-specialists. Trial registration Current Controlled Trials ISRCTN78396615. Funding This project was funded by the NIHR Health Technology Assessment programme and will be published in full in Health Technology Assessment; Vol. 20, No. 56. See the NIHR Journals Library website for further project information. © Queen’s Printer and Controller of HMSO 2016.",Article,Scopus,2-s2.0-84982883886,1,1,1,
"Boulton-Lewis G., Aird R., Buys L.",Older Australians: Structural barriers to learning in later life,2016,Current Aging Science,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84981309688&doi=10.2174%2f1874609809666160506122131&partnerID=40&md5=9a718145621d3ed9e521dc22ed13556b,"Background: Learning in older age is associated with benefits including increases in skills, social interactions, self-satisfaction, coping ability, enjoyment, and resilience to age-related changes in the brain. It is also a fundamental component of active ageing and if active ageing objectives are to be met for the growing ageing population, barriers to learning need to be understood and addressed. This study aimed at determining the degree that structural factors deter people aged 55 years and older from engaging in learning activities. Method: The data were obtained from survey (n=421) with a purposive sample of Australian Seniors aged 55 to 75+, and open ended follow up interviews (n=40). The survey responses to the 22 barriers to learning questions were ranked and quantified. The issues identified in the interviews shed further light on the survey data. Results: The analyses revealed that factors related to educational institutions as well as infrastructure were commonly cited as barriers to participation in learning. In particular expense of educational programmes (55.1%), long travelling time (45.6%) other transportation difficulties (38.9%), lack of interest in offered programmes ((36.4) and lack of information about courses (31.1%) were seen as barriers. The interviews revealed and confirmed five main barriers; money, offerings of interest/availability, travel/transport, information, computer skills and being employed. Conclusion: The findings should provide policy makers, institutions, organizations and government with a list of areas where changes might be made so as to improve older people’s opportunities for learning as they proceed through older age. © 2016 Bentham Science Publishers.",Article,Scopus,2-s2.0-84981309688,1,0,0,55+
"Gobbens R.J.J., van Assen M.A.L.M.",Psychometric properties of the Dutch WHOQOL-OLD,2016,Health and Quality of Life Outcomes,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84987755528&doi=10.1186%2fs12955-016-0508-5&partnerID=40&md5=bba0cb425acdf494c59b034f35d15603,"Background: To assess the internal consistency reliability and construct validity of the Dutch version of the World Health Organization Quality of Life Instrument-Older Adults Module (WHOQOL-OLD). Methods: The psychometric properties of the Dutch WHOQOL-OLD were examined in a cross-sectional study using a sample of 1,340 people aged 60years or older. Participants completed a Web-based questionnaire, the 'Senioren Barometer'. Reliability was evaluated using Cronbach's alpha and corrected item-total correlations. Construct validity of the Dutch WHOQOL-OLD was evaluated with confirmatory factor analyses, and correlations within and between scales, using scales WHOQOL-BREF, Short Form Health Survey (SF-12), Tilburg Frailty Indicator (TFI), and the Emotional and Social Loneliness Scale (ESLS). Results: The reliabilities of the six WHOQOL-OLD facets or subscales were sufficient to good (.66-.91). The convergent validity of the WHOQOL-OLD was good, whereas our findings on the divergent validity of the WHOQOL-OLD were somewhat mixed. Findings corroborating the divergent validity were that the 6-factor model fitted better than the second-order factor model, and WHOQOL-OLD facets sensory abilities, past, present and future activities, death and dying, intimacy correlated more strongly with similar than dissimilar scales. Not fully supporting divergent validity were the extremely high correlations between the factors corresponding to autonomy, past, present and future activities, and social participation. Conclusion: We offer Dutch healthcare and social workers an instrument with good psychometric properties for measuring quality of life in older people. Further research on interrelations between WHOQOL-OLD facets is recommended. ï¿½ 2016 The Author(s).",Article,Scopus,2-s2.0-84987755528,1,1,0,
"Manganello J.A., Gerstner G., Pergolino K., Graham Y., Strogatz D.",Media and technology use among hispanics/latinos in New York: Implications for health communication programs,2016,Journal of Racial and Ethnic Health Disparities,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015308850&doi=10.1007%2fs40615-015-0169-9&partnerID=40&md5=8043e6b57226c8d31b1f19a4461daa7f,"Objectives There is limited information about media and technology use, as well as health information-seeking patterns, specifically for Hispanics/Latinos at the state level. An understanding of access, usage patterns, and preferences for receiving health information is critical for state-level organizations to effectively reach and serve this growing population. Design A telephone survey was developed to assess media and technology access, use patterns, health-seeking information patterns, and preferences for receiving health information. The survey was conducted in New York state from August 8 to November 4, 2013, using random digit dialing. The overall sample of 1350 included 412 Hispanic/Latino adults who are the focus of this study. Results Most Hispanic/Latino respondents reported having at least one working computer at home (78%) and using the Internet (84%); almost all who had a computer reported having high-speed Internet service (90%). Cell phone ownership was common (88%), and many had a smartphone (71%). Activities most likely to occur several times per day were sending text messages (61%), using phone apps (49%), using a search engine (40%), using email (34%), and using social networking sites (32%). The most preferred channels of receiving health information were websites, mail, and television. Older respondents were significantly less likely to have the technologies, engage in technology activities, and prefer newer forms of information dissemination (i.e., text messages). Education and income were important predictors in some cases. Conclusions While most Hispanics/Latinos have access to various technologies, the reason for using those technologies and preferences for receiving health information most often varies by age and, sometimes, by education and income. Older adults tend to seek health information from traditional sources such as television and brochures, while younger adults favored newer technologies. Knowing preferences of the population can help ensure proper media channels are selected for dissemination of health information to Hispanic/Latino communities. © W. Montague Cobb-NMA Health Institute 2016.",Article,Scopus,2-s2.0-85015308850,1,0,0,
"Chan M.Y., Haber S., Drew L.M., Park D.C.",Training older adults to use tablet computers: Does it enhance cognitive function?,2016,Gerontologist,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84974708337&doi=10.1093%2fgeront%2fgnu057&partnerID=40&md5=8cc46a2b9f3e5fd3b363c56f39a4f441,"Purpose of the Study: Recent evidence shows that engaging in learning new skills improves episodic memory in older adults. In this study, older adults who were computer novices were trained to use a tablet computer and associated software applications. We hypothesize that sustained engagement in this mentally challenging training would yield a dual benefit of improved cognition and enhancement of everyday function by introducing useful skills. Design and Methods: A total of 54 older adults (age 60-90) committed 15 hr/week for 3 months. Eighteen participants received extensive iPad training, learning a broad range of practical applications. The iPad group was compared with 2 separate controls: a Placebo group that engaged in passive tasks requiring little new learning; and a Social group that had regular social interaction, but no active skill acquisition. All participants completed the same cognitive battery pre- and post-engagement. Results: Compared with both controls, the iPad group showed greater improvements in episodic memory and processing speed but did not differ in mental control or visuospatial processing. Implications: iPad training improved cognition relative to engaging in social or nonchallenging activities. Mastering relevant technological devices have the added advantage of providing older adults with technological skills useful in facilitating everyday activities (e.g., banking). This work informs the selection of targeted activities for future interventions and community programs. © The Author 2014. Published by Oxford University Press on behalf of The Gerontological Society of America.",Article,Scopus,2-s2.0-84974708337,1,1,1,
"Burmeister O.K., Bernoth M., Dietsch E., Cleary M.",Enhancing Connectedness Through Peer Training for Community-Dwelling Older People: A Person Centred Approach,2016,Issues in Mental Health Nursing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964039206&doi=10.3109%2f01612840.2016.1142623&partnerID=40&md5=dc8b0f30fadea76f11f767241378840a,"Social interaction and connectedness is important to the mental health and wellbeing of older people. The aim of this research study was to facilitate and increase opportunities for social connectedness for older people living in regional areas through the use of technology training. Weekly technology training sessions were conducted at a Seniors Citizen's Club with a peer trainer (an experienced, retired computer teacher) and sessions were attended not only by the six study participants, but also by other club members, with up to 15 club members participating in sessions. Data analysis involved all documents generated by the project, including the individual interviews, researcher observations of training sessions, reports from the peer trainer and weekly diaries maintained by participants. Findings demonstrated that computer training at the Senior Citizens Club helped participants build group cohesion and to form tiered connections with partners, family, and friends with whom they no longer live. When the trainer is seen as a peer, and training is person-centred, older people are more receptive to learning, exploring, and experimenting with technology. Although only six people were involved in the in-depth evaluation part of the study, voluntary training with the trainer in the absence of any funding continues even to this present time. The outcome of this research reinforces the potential for technology facilitated tiered connectivity to enhance the quality of life for older people living in regional and rural Australia. © 2016, Copyright © Taylor & Francis Group, LLC.",Article,Scopus,2-s2.0-84964039206,0,1,1,
"Tsai T.-H., Chang H.-T., Ho Y.-L.",Perceptions of a specific family communication application among grandparents and grandchildren: An extension of the technology acceptance model,2016,PLoS ONE,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84974806597&doi=10.1371%2fjournal.pone.0156680&partnerID=40&md5=d4703ba72a75057b6635a88528037954,"Many studies have noted that the use of social networks sites (SNSs) can enhance social interaction among the elderly and that the motivation for the elderly to use SNSs is to keep in contact with remote friends and family or the younger generation. Memotree is designed to promote intergenerational family communication. The system incorporates the Family Tree design concept and provides family communication mechanisms based on the Family Communication Scale. In addition, the system optimizes hardware and interface use to conform to the specific needs of older and substantially younger individuals. Regarding the impact of variables on SNS with respect to the interaction of usability variables in the construction of a cross-generational communication platform, we adopted the TAM model and Chung et al.'s suggestions to promote user acceptance of the proposed Memotree system. A total of 39 grandchildren and 39 grandparents met the criteria and were included in the study. The elderly and young respondents revealed substantial willingness to use and/or satisfaction with using the Memotree system. Empirical results indicate that technology affordances and perceived ease of use have a positive impact on perceived usefulness, while perceived ease of use is affected by technology affordances. Internet self-efficacy and perceived usefulness have a positive impact on the user's behavioral intention toward the system. In addition, this study investigated age as a moderating variable in the model. The results indicate that grandchildren have a larger significant effect on the path between perceived usefulness and behavioral intention than grandparents. This study proposes a more complete framework for investigating the user's behavioral intention and provides a more appropriate explanation of related services for cross-generational interaction with SNS services. © 2016 Tsai et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",Article,Scopus,2-s2.0-84974806597,0,1,0,
"Basanta H., Huang Y.-P., Lee T.-T.",Intuitive IoT-based H2U healthcare system for elderly people,2016,"ICNSC 2016 - 13th IEEE International Conference on Networking, Sensing and Control",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978091660&doi=10.1109%2fICNSC.2016.7479018&partnerID=40&md5=521e2cb4d9579624e0732a881fcf8175,"The development on newer healthcare services for the elderly citizens has become an immediate necessity today. There have been distinctive health challenges focused in the society through technical innovations. Most of the elderly people today experiences loneliness and psychological depressions, either as a result of living alone/abandonment or due to reduced connection with their children and relatives. To enhance the quality of services in the elderly healthcare system we have developed a ubiquitous intuitive IoT-based (Internet of Things) Help to You (H2U) healthcare system to integrate various technologies of wearable devices, biosensors and wireless sensor networks in order to provide an intensive service management platform. This method would support the real time activity and monitor the healthcare system for the elderly citizens. In this method the information collected by various wearable devices in real time are stored in the central database which thereby connects people, doctors, and practitioner at the time of an emergency for the right information. This way the system could increase accessibility, efficiency, and also lower the health expenses to improve the comfort and safety as well as management of daily routines of an elderly life. © 2016 IEEE.",Conference Paper,Scopus,2-s2.0-84978091660,0,0,0,no participation
"Arthanat S., Vroman K.G., Lysack C.",A home-based individualized information communication technology training program for older adults: A demonstration of effectiveness and value,2016,Disability and Rehabilitation: Assistive Technology,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961917327&doi=10.3109%2f17483107.2014.974219&partnerID=40&md5=41070b01332d3b54f8422c11c37d4524,"Purpose: To demonstrate the effectiveness and value of a home-based information communication technology (ICT) training program for older adults. Methods: Thirteen older adults were provided in-home ICT training by graduate occupational therapy students using an iPad. The breadth and frequency of ICT use, perspectives on technology, and perceived independence were recorded at baseline, during the 3-month training and at follow-up, along with an end-of-study questionnaire. Non-parametric Friedman analysis was conducted to verify trends in the outcome measures. The qualitative data were examined by content analysis. Results: Participants breadth of ICT activities showed a significant trend across 6 months. Leisure accounted for the significant increase, while health management and social connections activities increased modestly. A positive trend in participants perspectives on technology was evident along with a marginal increase in perceived independence. Participants perspectives were thematically categorized as technology experiences, interactions with coach, training approach, and specific activities. As reflection of the training programs value, 12 of the 13 participants took ownership of the iPad at the end of the study. Conclusion: Building capacity of older adults to utilize the multifaceted potential of ICT is critical in addressing declines in health, impending disabilities, and social isolation. © 2014 Informa UK Ltd.",Article,Scopus,2-s2.0-84961917327,1,1,1,
"Waycott J., Vetere F., Pedell S., Morgans A., Ozanne E., Kulik L.",Not for me: Older adults choosing not to participate in a social isolation intervention,2016,Conference on Human Factors in Computing Systems - Proceedings,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015075585&doi=10.1145%2f2858036.2858458&partnerID=40&md5=ecbef51dc2bf07aba82670793ef9930f,"This paper considers what we can learn from the experiences of people who choose not to participate in technology-based social interventions. We conducted ethnographically-informed field studies with socially isolated older adults, who used and evaluated a new iPad application designed to help build new social connections. In this paper we reflect on how the values and assumptions guiding the technological intervention were not always shared by those participating in the evaluation. Drawing on our field notes and interviews with the older adults who chose to discontinue participation, we use personas to illustrate the complexities and tensions involved in individual decisions to not participate. This analysis contributes to HCI research calling for a more critical perspective on technological interventions. We provide detailed examples highlighting the complex circumstances of our non-participants' lives, present a framework that outlines the socio-technical context of non-participation, and use our findings to promote reflective practice in HCI research that aims to address complex social issues.",Conference Paper,Scopus,2-s2.0-85015075585,0,1,0,
"Brewer R., Piper A.M.","""Tell it like it really is"": A case of online content creation and sharing among older adult bloggers",2016,Conference on Human Factors in Computing Systems - Proceedings,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84997531657&doi=10.1145%2f2858036.2858379&partnerID=40&md5=128e81deff8d69d6ac55c0d88a8536d7,"While the majority of older adults are now active online, they are often perceived as passive consumers of online information rather than active creators of content. As a counter to this view, we examine the practices of older adult bloggers (N=20) through in-depth interviews. We study this group of older adults as a unique case of content creation and sharing. We find that the practice of creating and sharing through blogging meets several important psychological and social needs for older adults. Specifically, blogging supports the development of identity in older adulthood; fosters selfexpression that supports older adults' values; provides meaningful engagement during retirement; and enables a sense of community and social interaction that is important for wellbeing in late-life. We argue for a focus on designing for late-life development and detail opportunities for online systems to better support the dynamic experience of growing older through online content creation and sharing.",Conference Paper,Scopus,2-s2.0-84997531657,0,1,0,
"Womack J.L., Isaksson G., Lilja M.",Care partner dyad strategies to support participation in community mobility,2016,Scandinavian Journal of Occupational Therapy,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954211897&doi=10.3109%2f11038128.2015.1126349&partnerID=40&md5=d27ac57bbe26e4d5576f6d8d7fd3a10e,"Background Factors supporting continued community mobility for older adults warrant attention due to the relationship between mobility, health, and social participation. Although community mobility is typically considered from the perspective of individual functional abilities, care partnerships represent a situation in which maintaining community mobility has implications for the well-being of all members. Aim The aim of this research was to explore and describe strategies used by older adult care partner dyads to support and maintain participation in community mobility. Methods Ethnographic case studies of three care partner dyads were conducted using in-depth interviews, participant observation, photographs, and reciprocal data analysis. An inductive, constant comparative data analysis resulted in thematic descriptions of strategies employed by the care partner dyads. Results Three strategies were identified in collaboration with care partners: (i) Acting in accordance with the values of the relationship, (ii) Finding and using available assistive technology and (iii) Relying on social networks. Conclusion and significance Strategies identified by participants were more relational than procedural in nature, indicating the need for occupational therapists working with care partner dyads to consider historical routines, social connectedness, and needs of the care partnership in addition to functional abilities of the care recipient when addressing community mobility. © 2016 Taylor & Francis.",Article,Scopus,2-s2.0-84954211897,1,1,0,and carers
"Steijn W.M.P., Schouten A.P., Vedder A.H.",Why concern regarding privacy differs: The influence of age and(non-)participation on Facebook,2016,Cyberpsychology,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84973165149&doi=10.5817%2fCP2016-1-3&partnerID=40&md5=08dd78004b76c9dc0c9bc3e8c5a67ec4,"Young people have obtained a reputation for caring less about their privacy due to their self-revealing presence on social media. Although one might easily be inclined to think that young people do not care about their privacy, an explanation for this could be that young people simply have a different idea of what privacy entails. This study aims to investigate the underlying mechanisms that may explain differences in privacy concerns between younger and older people and between users and non-users of social network sites (SNSs). 1.008 users of SNS and 712 non-users participated in the study with a stratified distribution over adolescents, young adults, and adults. The results show that the difference in perceived risk-benefit balance partly mediates the relationship between use or non-use of SNSs and concern. SNS users are less concerned because they perceive more benefits relative to risks. Concern regarding privacy between young and old was mediated by their differences in privacy conceptions. Older individuals were more likely to associate situations related to personal information with privacy. In turn, these individuals reported more concern regarding their privacy. © 2016, Masaryk University. All rights reserved.",Article,Scopus,2-s2.0-84973165149,0,0,0,no older adults
"Moccia M., Lavorgna L., Lanzillo R., Brescia Morra V., Tedeschi G., Bonavita S.",The Dress: Transforming a web viral event into a scientific survey,2016,Multiple Sclerosis and Related Disorders,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960363764&doi=10.1016%2fj.msard.2016.03.001&partnerID=40&md5=a75d96aedc1cb7196238b305179bf077,"Background The Dress picture recently has become a hot topic on the Internet, prompting a debate whether it was black and blue, or white and gold. Objective To investigate The Dress color perception in both multiple sclerosis (MS) patients, characterized by frequent visual system impairment with ensuing color vision effects, and general population. Methods We developed a questionnaire to record demographics, clinical features, and The Dress color perception, posted on general and MS-specific social networks. Results No statistically significant differences were observed in The Dress color perception between MS patients (n=103) and general population (n=441). Furthermore, white and gold color perception was positively associated with aging in the general population (p=0.04), whereas negatively associated with progressive course (p=0.03) and longer disease duration (p<0.001) in MS patients, independently from patients' age. Conclusion The Dress black and blue or white and gold perception might be due to aging in the general population, whereas black and blue perception, despite of aging, might suggest a specific effect of the MS burden (i.e. disease duration and progression) on the visual structures specifically involved in the white and gold perception. © 2016 Published by Elsevier B.V.",Article,Scopus,2-s2.0-84960363764,1,0,0,
